#,nome,origem,mod_id,blueprint_path,no_catalogo,catalog_id,preco_l1_atual
1,Rex,Vanilla (The Island),—,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP,sim,rex,18000
167,Crystal Wyvern Ember Descendant,Small Bosses,2380466974,/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Descendant_Ember.CrystalWyvern_Character_BP_Descendant_Ember,sim,sb_crystal_ember,15000
168,Crystal Wyvern Tropical Descendant,Small Bosses,2380466974,/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Descendant_Tropical.CrystalWyvern_Character_BP_Descendant_Tropical,sim,sb_crystal_tropical,3500
169,Crystal Wyvern Queen,Small Bosses,2380466974,/Game/Mods/SmallBosses/CrystalQueen/CrystalWyvern_Character_BP_Queen.CrystalWyvern_Character_BP_Queen,sim,sb_crystal_queen,25000
170,Fire Elemental,Small Bosses,2380466974,/Game/Mods/SmallBosses/FireElemental/FireElemental_Character_BP.FireElemental_Character_BP,sim,sb_fire_elemental,25000
171,Fire Elemental Domável,Small Bosses,2380466974,/Game/Mods/SmallBosses/FireElemental/FireElemental_Character_BP_Tameable.FireElemental_Character_BP_Tameable,sim,sb_fire_elemental_tame,25000
172,Small Broodmother,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallBroodmother/SmallBroodmother_Character_BP.SmallBroodmother_Character_BP,sim,sb_broodmother,25000
173,Small Cyclops,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallCyclops/SmallCyclops_Character_BP.SmallCyclops_Character_BP,sim,sb_cyclops,24000
174,Small Desert Titan,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDesertTitan/DesertTitan_Character_BP_SB.DesertTitan_Character_BP_SB,sim,sb_desert_titan,25000
175,Small DodoRex,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDodoRex/SmallDodoRex_Character_BP.SmallDodoRex_Character_BP,sim,sb_dodorex,25000
176,Small Dodoreaper,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDodoreaper/SmallDodoreaper_Character_BP.SmallDodoreaper_Character_BP,sim,sb_dodoreaper,25000
177,Small Dodowyvern,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDodowyvern/SmallDodowyvern_Character_BP.SmallDodowyvern_Character_BP,sim,sb_dodowyvern,6000
178,Small Dragon,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDragon/SmallDragon_Character_BP.SmallDragon_Character_BP,sim,sb_small_dragon,25500
179,Volcano Small Dragon,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDragon/Volcano_SmallDragon_Character_BP.Volcano_SmallDragon_Character_BP,sim,sb_volcano_dragon,26000
180,Small Drake (Fogo),Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallDrake/SmallDrake_Character_BP_Fire.SmallDrake_Character_BP_Fire,sim,sb_drake_fire,15500
181,Small Hippocampus,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallHippocampus/SmallHippocampus_Character_BP.SmallHippocampus_Character_BP,sim,sb_hippocampus,6500
182,Small Hydra,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallHydra/SmallHydra_Character_BP.SmallHydra_Character_BP,sim,sb_hydra,9000
183,Small Manticore,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallManticore/SmallManticore_Character_BP.SmallManticore_Character_BP,sim,sb_manticore,24500
184,Small Megapithecus,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallMegapithecus/SmallGorilla_Character_BP.SmallGorilla_Character_BP,sim,sb_megapithecus,24500
185,Small Moeder,Small Bosses,2380466974,/Game/Mods/SmallBosses/SmallMoeder/SmallMoeder_Character_BP.SmallMoeder_Character_BP,sim,sb_moeder,5000
186,Meraxes,BigAL — Meraxes,2879943314,/Game/Mods/Meraxes/Dino/Meraxes_Character_BP.Meraxes_Character_BP,não,—,—
187,Meraxes (Scorched),BigAL — Meraxes,2879943314,/Game/Mods/Meraxes/Dino/texture/Varients/SE/ScorchedMeraxes_Character_BP.ScorchedMeraxes_Character_BP,não,—,—
188,Meraxes (Rockwell),BigAL — Meraxes,2879943314,/Game/Mods/Meraxes/Dino/texture/Varients/Rockwell/RockwellMeraxes_Character_BP.RockwellMeraxes_Character_BP,não,—,—
189,Meraxes (X-Snow),BigAL — Meraxes,2879943314,/Game/Mods/Meraxes/Dino/texture/Varients/X-Snow/SnowMeraxes_Character_BP.SnowMeraxes_Character_BP,não,—,—
190,Indominus Rex,Moro's Indomitable Duo,2932656301,/Game/Mods/IndominusRex/Models/IndominusRex_Character_BP.IndominusRex_Character_BP,sim,indominus,20000
191,IndoRaptor,Moro's Indomitable Duo,2932656301,/Game/Mods/IndominusRex/IndoRaptor/IndoRaptorBlueprints/NewIndoRaptor_Character_BP.NewIndoRaptor_Character_BP,sim,indoraptor,6000
